Band Number,Disposition,Species,Common Name,Age,Sex,Month,Day,Year,Bird Status,Bander ID,Location,How Captured,Wing Chord,Bird Weight,Tarsus Length,Culmen Length,Bill Width,Bill Height,Transmitter Affixed,Cloacal Swab,Blood Sample Taken,AI Sample #,Mercury Sample ID,Capture Time,Transmitter ID,Aux Marker Type,Season
2197-82926,1,LSGO,Lesser Snow Goose,ASY,M,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182111,80F,Summer
2197-82927,1,LSGO,Lesser Snow Goose,ASY,M,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182112,80F,Summer
2197-82928,1,LSGO,Lesser Snow Goose,ASY,F,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,180942,80F,Summer
2197-82929,1,LSGO,Lesser Snow Goose,ASY,M,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,180947,80F,Summer
2197-82930,1,LSGO,Lesser Snow Goose,ASY,M,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191754,80F,Summer
2197-82932,1,LSGO,Lesser Snow Goose,ASY,M,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191751,80F,Summer
2197-82933,1,LSGO,Lesser Snow Goose,ASY,M,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191752,80F,Summer
2197-82934,1,LSGO,Lesser Snow Goose,ASY,F,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182127,80F,Summer
2197-82935,1,LSGO,Lesser Snow Goose,ASY,M,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182126,80F,Summer
2197-82936,1,LSGO,Lesser Snow Goose,ASY,F,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182115,80F,Summer
